date,iso_code,new_cases_smoothed,new_deaths_smoothed,population,num_vacunes
2020/02/13,BEL,0,0,11589616,
2020/02/13,DEU,0.571,0,83783945,
2020/02/13,DNK,,,5792203,
2020/02/13,ESP,0.143,0,46754783,
2020/02/13,EST,,,1326539,
2020/02/13,FIN,0,0,5540718,
2020/02/13,FRA,0.714,0,67564251,
2020/02/13,ITA,0.143,0,60461828,
2020/02/13,MLT,,,441539,
2020/02/13,SVN,,,2078932,
2020/02/13,SWE,0,0,10099270,
2020/02/14,BEL,0,0,11589616,
2020/02/14,DEU,0.429,0,83783945,
2020/02/14,DNK,,,5792203,
2020/02/14,ESP,0.143,0,46754783,
2020/02/14,EST,,,1326539,
2020/02/14,FIN,0,0,5540718,
2020/02/14,FRA,0.714,0,67564251,
2020/02/14,ITA,0,0,60461828,
2020/02/14,MLT,,,441539,
2020/02/14,SVN,,,2078932,
2020/02/14,SWE,0,0,10099270,
2020/02/15,BEL,0,0,11589616,
2020/02/15,DEU,0.429,0,83783945,
2020/02/15,DNK,,,5792203,
2020/02/15,ESP,0.143,0,46754783,
2020/02/15,EST,,,1326539,
2020/02/15,FIN,0,0,5540718,
2020/02/15,FRA,0.143,0.143,67564251,
2020/02/15,IRL,,,4937796,
2020/02/15,ITA,0,0,60461828,
2020/02/15,LVA,,,1886202,
2020/02/15,MLT,,,441539,
2020/02/15,PRT,,,10196707,
2020/02/15,SVN,,,2078932,
2020/02/15,SWE,0,0,10099270,
2020/02/16,BEL,0,0,11589616,
2020/02/16,DEU,0.286,0,83783945,
2020/02/16,DNK,,,5792203,
2020/02/16,ESP,0,0,46754783,
2020/02/16,EST,,,1326539,
2020/02/16,FIN,0,0,5540718,
2020/02/16,FRA,0.143,0.143,67564251,
2020/02/16,ITA,0,0,60461828,
2020/02/16,MLT,,,441539,
2020/02/16,SVN,,,2078932,
2020/02/16,SWE,0,0,10099270,
2020/02/17,BEL,0,0,11589616,
2020/02/17,DEU,0.286,0,83783945,
2020/02/17,DNK,,,5792203,
2020/02/17,ESP,0,0,46754783,
2020/02/17,EST,,,1326539,
2020/02/17,FIN,0,0,5540718,
2020/02/17,FRA,0.143,0.143,67564251,
2020/02/17,ITA,0,0,60461828,
2020/02/17,MLT,,,441539,
2020/02/17,SVN,,,2078932,
2020/02/17,SWE,0,0,10099270,
2020/02/18,BEL,0,0,11589616,
2020/02/18,DEU,0,0,83783945,
2020/02/18,DNK,,,5792203,
2020/02/18,ESP,0,0,46754783,
2020/02/18,EST,,,1326539,
2020/02/18,FIN,0,0,5540718,
2020/02/18,FRA,0.143,0.143,67564251,
2020/02/18,ITA,0,0,60461828,
2020/02/18,MLT,,,441539,
2020/02/18,SVN,,,2078932,
2020/02/18,SWE,0,0,10099270,
2020/02/19,BEL,0,0,11589616,
2020/02/19,DEU,0,0,83783945,
2020/02/19,DNK,,,5792203,
2020/02/19,ESP,0,0,46754783,
2020/02/19,EST,,,1326539,
2020/02/19,FIN,0,0,5540718,
2020/02/19,FRA,0.143,0.143,67564251,
2020/02/19,ITA,0,0,60461828,
2020/02/19,MLT,,,441539,
2020/02/19,SVN,,,2078932,
2020/02/19,SWE,0,0,10099270,
2020/02/20,BEL,0,0,11589616,
2020/02/20,DEU,0,0,83783945,
2020/02/20,DNK,,,5792203,
2020/02/20,ESP,0,0,46754783,
2020/02/20,EST,,,1326539,
2020/02/20,FIN,0,0,5540718,
2020/02/20,FRA,0.143,0.143,67564251,
2020/02/20,ITA,0,0,60461828,
